Unnamed: 0,title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,type,rating,genre,original_language,director,producer,writer,release_date_(theaters),release_date_(streaming),box_office_(gross_usa),runtime,production_co,sound_mix,aspect_ratio,view_the_collection,crew
1426,heaven wait,1978,joe pendleton warren beatty quarterback los angeles ram killed auto accident afterlife joe discovers guardian angel buck henry taken body prematurely due many year earth unable return body joe assumes form greedy multimillionaire industrialist leo farnsworth farnsworth joe attempt return football fall love environmental activist betty logan julie christie,88,68.0,throwback highgloss screwball comedy 1940s heaven wait beguiles seamless production value great comic relief charles grodin dianne cannon,41,10000,sport fitness,pg,comedy fantasy,english,warren beatty buck henry,warren beatty,harry segall elaine may warren beatty robert towne,jun 28 1978 wide,jan 1 2017,unknown,1h 41m,paramount picture,stereo,unknown,unknown,warren beatty julie christie jack warden james mason dyan cannon charles grodin buck henry vincent gardenia joseph maher hamilton camp warren beatty buck henry harry segall elaine may warren beatty robert towne hawk koch charles h maguire warren beatty dave grusin
1427,field dream,1989,iowa farmer ray kevin costner hears mysterious voice one night cornfield saying build come feel need act despite taunt lunacy ray build baseball diamond land supported wife annie amy madigan afterward ghost great player start emerging crop play ball led shoeless joe jackson ray learns field dream much bringing former baseball great play,87,86.0,field dream sentimental best way mix fairy tale baseball family togetherness,61,100000,sport fitness,pg,fantasy,english,phil alden robinson,charles gordon lawrence gordon,unknown,unknown,jun 15 2012,618m,1h 46m,gordon company,surround,unknown,unknown,kevin costner amy madigan james earl jones gaby hoffman ray liotta timothy busfield burt lancaster frank whaley dwier brown phil alden robinson brian e frankish charles gordon lawrence gordon james horner john lindley ian crafford margery simkin leslie mcdonald
1428,heart game,2005,filmed period seven year director ward serrill profile bill resler university professor coach basketball team comprised highschool girl darnellia russell one team black player also come focus struggle stay team despite major obstacle,87,83.0,group high school girl eccentric basketball coach easily win heart unusual humanity dynamism,100,10000,sport fitness,pg13 brief strong language,documentary,english,ward serrill,ward serrill liz manne,ward serrill,unknown,apr 19 2016,4441k,1h 45m,woody creek,unknown,unknown,unknown,ward serrill ward serrill ward serrill liz manne larry estes
1429,tyson,2008,former heavyweight boxing champion mike tyson reflects tumultuous life ring filmmaker james toback offer complex portrait man two discus tyson time juvenile detention relationship mentor cu damato boxing career rape charge landed prison,85,79.0,fascinating emotional frank confessional iron mike shed sympathetic light one boxing controversial icon,147,5000,sport fitness,r sexual referenceslanguage,documentary,english,james toback,damon bingham james toback,unknown,apr 24 2009 limited,apr 16 2012,8871k,1h 30m,defiance entertainment wild bunch,dolby digital,unknown,unknown,mike tyson james toback damon bingham james toback mike tyson nicholas jarecki harlan werner henry jarecki bob yari larry mcconkey
1430,hurricane,1999,denzel washington rubin hurricane carter man whose dream winning middleweight boxing title destroyed arrested along another man murder 3 people new jersey bar wrongfully accused carter john artis sentenced 3 life term prison,83,87.0,thanks large part one denzel washington powerful onscreen performance hurricane moving inspirational sport drama even take risk telling story,114,50000,sport fitness,r violencelanguage,drama,english,norman jewison,armyan bernstein,armyan bernstein,jan 14 2000 wide,feb 12 2014,507m,2h 26m,universal picture beacon communication azoff entertainment,surround dolby digital dts sdds,flat 1851,unknown,denzel washington vicellous reon shannon deborah kara unger liev schreiber john hannah dan hedaya debbi morgan clancy brown david paymer harris yulin norman jewison rubin hurricane carter sam chaiton terry swinton armyan bernstein dan gordon marc abraham irving azoff armyan bernstein suzann elli
1431,chariot fire,1981,classobsessed religiously divided united kingdom early 1920s two determined young runner train 1924 paris olympics eric liddell ian charleson devout christian born scottish missionary china see running part worship god glory refuse train compete sabbath harold abraham ben cross overcomes antisemitism class bias neglect beloved sweetheart sybil alice krige singleminded quest,82,80.0,decidedly slower less limber olympic runner center story film nevertheless manages make effectively stirring use spiritual patriotic theme,73,25000,sport fitness,pg,drama,english united kingdom,hugh hudson,david puttnam,unknown,unknown,jun 2 2015,unknown,2h 3m,warner brother allied star,surround,unknown,unknown,ben cross ian charleson john gielgud nigel havers nicholas farrell ian holm lindsay anderson nigel davenport cheryl campbell alice krige hugh hudson jonathan benson colin welland david puttnam dodi fayed jake eberts david watkin terry rawlings
1432,looking eric,2009,ever since wife stephanie bishop left eric bishop steve evets life fallen apart two teen son gerard kearns stefan gumbs little regard job post office increasingly unfulfilling end hospital car crash one night smoke marijuana vision favorite manchester united soccer player eric cantona help idol daughter lucyjo hudson eric try get life straightened,85,78.0,ken loach latest uplifting entertaining amusing sociodrama featuring matchwinning performance eric cantona,99,5000,sport fitness,unknown,comedy drama,english,ken loach,tim cole rebecca obrien,paul laverty,may 14 2010 limited,apr 10 2017,558k,1h 56m,tornasol film sa,unknown,unknown,unknown,steve evets éric cantona stephanie bishop gerard kearns stefan gumbs lucyjo hudson cole williams dylan williams matthew mcnulty laura ainsworth ken loach paul laverty tim cole rebecca obrien barry ackroyd kahleen crawford fergus clegg
1433,armstrong lie,2013,filmmaker alex gibney chronicle lance armstrong attempt return cycling admission doping subsequent fall grace,82,76.0,smartly constructed scathingly sharp armstrong lie present effective indictment unscrupulous subject well sport culture spawned,122,5000,sport fitness,r language,documentary,english,alex gibney,alex gibney frank marshall matt tolmach,alex gibney,nov 8 2013 limited,jun 26 2015,3817k,2h 2m,jigsaw prod kennedymarshall matt tolmach,unknown,unknown,unknown,alex gibney lance armstrong reed albergotti daniel coyle michele ferrari george hincapie phil liggett steve madden alex gibney alex gibney alex gibney frank marshall matt tolmach maryse alberti andy grieve tim squyres david kahne
1434,major league,1989,new owner cleveland indian former showgirl rachel phelps margaret whitton sweetheart deal move team miami break lease city cleveland ticket sale plummet phelps hire incompetent player available including nearblind pitcher rick vaughn charlie sheen injuryprone catcher jake taylor tom berenger villainous tactic accidentally foster cando team spirit turning indian potential winner,83,84.0,major league may predictable formulaic buoyed script light silly humor mention wellbuilt sport action sequence funny performance,40,50000,sport fitness,r,comedy,english,david ward,chris chesser irby smith,unknown,unknown,aug 1 2013,498m,1h 47m,morgan creek production,surround,unknown,unknown,tom berenger charlie sheen corbin bernsen margaret whitton james gammon rene russo wesley snipe charles cypher chelcie ross dennis haysbert david ward mark rosenberg chris chesser irby smith james newton howard randy newman reynaldo villalobos dennis hill
1435,go tiger,2001,go tiger rare behindthescenes chronicling remarkable season massillon tiger high school football team played small town draw identity football course season three young star emerge forced carry burden town teammate confront uncertain future film shot location ohio high definition video,85,68.0,go tiger absorbing evenhanded documentary take perceptive look world high school sport impact community,40,500,sport fitness,r languagescene teen drinking,documentary,english,kenneth carlson,kenneth carlson sidney sherman,kenneth carlson,sep 21 2001 wide,jan 8 2017,1517k,1h 52m,triple play picture,dolby stereo dolby dolby sr dolby digital,unknown,unknown,kenneth carlson kenneth carlson kenneth carlson todd robinson sidney sherman randy miller curt apduhan jeff werner
1436,cannot kill david arquette,2020,branded hated man wrestling winning highly controversial wcw world heavyweight championship 2000 actor david arquette attempt rocky return sport stalled promising hollywood career dangerously determined redeem reputation reclaim selfrespect arquette stop nothing earn place professional wrestling,83,92.0,cannot kill david arquette deny sheer watchability unusual surprisingly affecting documentary,54,50,sport fitness,r language throughoutsome bloody imagesnudity,documentary,english,david darg price james,ross levine christina mclarty arquette bryn mooser stacey souther,unknown,aug 21 2020 limited,aug 28 2020,unknown,1h 30m,unbridled sound carbon one last run production kidz gone bad xtr,unknown,unknown,unknown,david arquette patricia arquette courteney cox rosanna arquette ric flair david darg price james ross levine christina mclarty arquette bryn mooser stacey souther david arquette kathryn everett justin lacob franklin mclarty
